Instance,FC_h0_solve_time,FC_h0_total_time,FC_h1_solve_time,FC_h1_total_time,FC_h2_solve_time,FC_h2_total_time,FC_h3_solve_time,FC_h3_total_time,MAC4_h0_solve_time,MAC4_h0_total_time,MAC4_h1_solve_time,MAC4_h1_total_time,MAC4_h2_solve_time,MAC4_h2_total_time,MAC4_h3_solve_time,MAC4_h3_total_time,CP-SAT_solve_time,CP-SAT_total_time
011_4_myciel3.col.json,0.0,0.0026264190673828125,0.0,0.002624034881591797,0.0,0.00286865234375,0.0,0.003320455551147461,0.001,0.00402379035949707,0.001,0.004326820373535156,0.001,0.004189252853393555,0.001,0.004028797149658203,0.005973754,0.008478879928588867
023_5_myciel4.col.json,0.0,0.005062103271484375,0.0,0.005118608474731445,0.0,0.005233049392700195,0.0,0.005464076995849609,0.014,0.02051520347595215,0.016,0.021286725997924805,0.017,0.0225222110748291,0.016,0.0216372013092041,0.0032082200000000003,0.00449681282043457
025_5_queen5_5.col.json,0.0,0.015240669250488281,0.0,0.015518665313720703,0.0,0.014924764633178711,0.004,0.021400928497314453,1.521,1.536325216293335,1.487,1.501979112625122,-1,30,3.065,3.0803751945495605,0.007579997000000001,0.008119344711303711
036_7_queen6_6.col.json,0.096,0.1412506103515625,0.006,0.050580501556396484,-1,30,3.55,3.5948877334594727,-1,30,-1,30,-1,-1,-1,30,0.003907874,0.005621671676635742
047_6_myciel5.col.json,0.0,0.02070307731628418,0.0,0.016462087631225586,-1,-1,0.0,0.01572442054748535,-1,-1,-1,-1,-1,-1,-1,-1,0.004149576,0.004740476608276367
049_7_queen7_7.col.json,0.011,0.08563709259033203,0.0,0.07386231422424316,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,0.004062382000000001,0.0047609806060791016
064_9_queen8_8.col.json,-1,30,2.296,2.472942352294922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0038749970000000003,0.004801750183105469
074_11_huck.col.json,-1,-1,0.001,0.11336255073547363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004065919,0.005014657974243164
080_10_jean.col.json,-1,-1,0.002,0.0834662914276123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0046101070000000004,0.005402326583862305
081_10_queen9_9.col.json,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.003906406,0.0051114559173583984
087_11_david.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.003720923,0.004892587661743164
095_7_myciel6.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0036361310000000003,0.004545927047729492
096_12_queen8_12.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004840227,0.006412029266357422
120_9_games120.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.003737469,0.00510406494140625
121_11_queen11_11.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0038600860000000004,0.005536556243896484
128_20_miles500.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00455333,0.006239891052246094
128_31_miles750.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005354257,0.007678508758544922
128_42_miles1000.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.006622240000000001,0.010178327560424805
128_73_miles1500.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010445767,0.016614913940429688
128_8_miles250.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004014292,0.005308389663696289
138_11_anna.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004370413,0.005749940872192383
169_13_queen13_13.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0047385940000000005,0.0075037479400634766
184_31_mulsol.i.3.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005270409,0.007811307907104492
185_31_mulsol.i.4.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005673507,0.008289337158203125
186_31_mulsol.i.5.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.006165486,0.008948326110839844
188_31_mulsol.i.2.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005688129,0.008432626724243164
191_8_myciel7.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00394579,0.00587010383605957
