Instance,FC_h0_solve_time,FC_h0_total_time,FC_h1_solve_time,FC_h1_total_time,FC_h2_solve_time,FC_h2_total_time,FC_h3_solve_time,FC_h3_total_time,MAC4_h0_solve_time,MAC4_h0_total_time,MAC4_h1_solve_time,MAC4_h1_total_time,MAC4_h2_solve_time,MAC4_h2_total_time,MAC4_h3_solve_time,MAC4_h3_total_time
011_4_myciel3.col.json,0.0,0.002529144287109375,0.0,0.002811431884765625,0.0,0.017147541046142578,0.0,0.002887248992919922,0.001,0.004127979278564453,0.001,0.0046536922454833984,0.001,0.004154205322265625,0.002,0.005131959915161133
023_5_myciel4.col.json,0.0,0.005435466766357422,0.0,0.005246162414550781,0.0,0.0056285858154296875,0.0,0.0054929256439208984,0.015,0.02003192901611328,0.018,0.024535655975341797,0.016,0.021243572235107422,0.02,0.0264432430267334
025_5_queen5_5.col.json,0.0,0.01780843734741211,0.0,0.015455961227416992,0.0,0.01814889907836914,0.004,0.02042675018310547,1.461,1.475968599319458,1.457,1.4727287292480469,-1,30,3.125,3.14121675491333
036_7_queen6_6.col.json,0.093,0.14027070999145508,0.006,0.05280470848083496,-1,30,3.55,3.5950827598571777,-1,30,-1,30,-1,30,-1,30
047_6_myciel5.col.json,0.0,0.01619744300842285,0.0,0.01817917823791504,0.0,0.0158231258392334,0.0,0.019971847534179688,0.11,0.12552738189697266,0.109,0.1244359016418457,0.141,0.15792512893676758,0.134,0.14920783042907715
049_7_queen7_7.col.json,0.011,0.09103155136108398,0.0,0.0854787826538086,-1,30,-1,30,-1,30,-1,30,-1,30,-1,30
064_9_queen8_8.col.json,-1,30,2.291,2.4704196453094482,-1,30,-1,30,-1,30,-1,30,-1,-1,-1,30
074_11_huck.col.json,0.001,0.6851215362548828,0.001,0.10987687110900879,-1,-1,0.001,0.1165001392364502,-1,-1,-1,-1,-1,-1,-1,-1
080_10_jean.col.json,0.002,0.08666372299194336,0.001,0.07574748992919922,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1
081_10_queen9_9.col.json,-1,30,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
087_11_david.col.json,-1,30,0.002,0.1596693992614746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
095_7_myciel6.col.json,-1,-1,0.002,0.06376028060913086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
096_12_queen8_12.col.json,-1,-1,0.006,0.6093578338623047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120_9_games120.col.json,-1,-1,0.005,0.1654984951019287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121_11_queen11_11.col.json,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128_20_miles500.col.json,-1,-1,0.007,1.4666967391967773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128_31_miles750.col.json,-1,-1,0.014,6.7745208740234375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
