Instance,FC_h0_solve_time,FC_h0_total_time,FC_h1_solve_time,FC_h1_total_time,FC_h2_solve_time,FC_h2_total_time,FC_h3_solve_time,FC_h3_total_time,CP-SAT_solve_time,CP-SAT_total_time
15,0.002,0.0923008918762207,0.0,0.0953378677368164,0.063,0.15479326248168945,0.0,0.09025931358337402,0.039113403000000005,0.059838056564331055
16,0.006,0.13154149055480957,0.004,0.11797928810119629,0.043,0.15083861351013184,0.0,0.11108112335205078,0.035637372,0.055014848709106445
17,0.017,0.1646742820739746,0.013,0.1594676971435547,0.066,0.21816515922546387,0.0,0.1471843719482422,0.048706214000000005,0.07196354866027832
18,0.003,0.19136714935302734,0.0,0.1889972686767578,0.087,0.28080248832702637,0.003,0.1935720443725586,0.05356425200000001,0.08272814750671387
19,0.005,0.24078631401062012,0.006,0.25385355949401855,0.388,0.6278152465820312,0.002,0.2332608699798584,0.060657144,0.09874129295349121
20,0.085,0.38077592849731445,0.005,0.29553747177124023,0.057,0.36176133155822754,0.015,0.2971842288970947,0.07604166600000001,0.14501500129699707
21,0.008,0.36034369468688965,0.001,0.36807775497436523,0.499,0.8676788806915283,0.006,0.3521759510040283,0.077639619,0.15218091011047363
22,0.036,0.45277929306030273,0.001,0.4385814666748047,0.153,0.5583243370056152,0.002,0.4100205898284912,0.100419821,0.18216490745544434
23,0.061,0.5541129112243652,0.001,0.5187575817108154,1.238,1.7245960235595703,0.002,0.4955906867980957,0.120499218,0.2241504192352295
24,0.193,0.7824909687042236,0.009,0.6091835498809814,5.727,6.334141254425049,0.003,0.5884432792663574,0.144584456,0.24757862091064453
25,0.796,1.5121541023254395,0.002,0.7245006561279297,9.938,10.659973859786987,0.001,0.7089574337005615,0.146484424,0.2771461009979248
26,0.203,1.029433250427246,0.004,0.8639910221099854,0.286,1.1391308307647705,0.002,0.8601479530334473,0.165665259,0.3076291084289551
27,0.941,1.9009201526641846,0.005,0.9846882820129395,7.64,8.659297704696655,0.02,0.9785552024841309,0.18457204500000002,0.3465869426727295
28,0.332,1.4325737953186035,0.003,1.1315252780914307,-1,30,0.002,1.161327600479126,0.224545196,0.41857290267944336
29,2.084,3.3829574584960938,0.009,1.3142001628875732,-1,-1,0.004,1.288482427597046,0.24018672900000002,0.46094799041748047
30,1.523,3.050833225250244,0.006,1.4765698909759521,-1,-1,0.002,1.5049686431884766,0.26338056400000004,0.517134428024292
31,15.075,16.7487735748291,0.003,1.7099928855895996,-1,-1,0.004,1.7675182819366455,0.304459009,0.611905574798584
32,-1,30,0.003,1.8860070705413818,-1,-1,0.006,1.9644298553466797,0.343002615,0.6753373146057129
33,-1,-1,0.01,2.133638620376587,-1,-1,0.009,2.178562641143799,0.38787797,0.7460615634918213
34,-1,-1,0.004,2.5101406574249268,-1,-1,0.004,2.569359540939331,0.41693072000000003,0.8526527881622314
35,-1,-1,0.002,2.887171745300293,-1,-1,0.012,2.8214926719665527,0.500048375,1.0511481761932373
36,-1,-1,0.002,3.114976644515991,-1,-1,0.022,3.12642240524292,0.5258078820000001,1.080622673034668
37,-1,-1,0.003,3.561397075653076,-1,-1,0.004,3.5624196529388428,0.610732139,1.271930456161499
38,-1,-1,0.003,4.0278480052948,-1,-1,0.013,4.0129311084747314,0.660700056,1.336315631866455
39,-1,-1,0.003,4.420527935028076,-1,-1,0.05,4.405303239822388,0.7018875640000001,1.4521205425262451
40,-1,-1,0.005,4.887518644332886,-1,-1,0.016,4.711867570877075,0.783917336,1.639117956161499
41,-1,-1,0.006,5.429055452346802,-1,-1,0.005,5.182092189788818,0.829293708,1.7239551544189453
42,-1,-1,0.003,5.854276657104492,-1,-1,0.068,5.842933654785156,0.9214443600000001,1.9438843727111816
43,-1,-1,0.004,6.447336673736572,-1,-1,0.193,6.656532049179077,1.020361494,2.1159377098083496
44,-1,-1,0.004,8.396743774414062,-1,-1,0.014,6.966243267059326,1.0868495,2.363842725753784
45,-1,-1,0.004,7.72387433052063,-1,-1,0.05,7.781832456588745,1.186260491,2.48256254196167
46,-1,-1,0.007,8.927045822143555,-1,-1,0.018,8.528170108795166,1.283109877,2.734445333480835
47,-1,-1,0.006,9.545574426651001,-1,-1,0.04,9.340883731842041,1.404965529,3.0364367961883545
48,-1,-1,0.006,10.161732912063599,-1,-1,0.066,10.163751125335693,1.55094638,3.3260841369628906
49,-1,-1,0.011,11.013658046722412,-1,-1,0.035,11.083398818969727,1.610811428,3.5000712871551514
